연도,시도,시군구,사고[건],사망[명],부상[명],중상자[명],경상자[명],부상신고자[명]
2020,서울,종로구,226,2,234,85,127,22
2020,서울,중구,246,1,254,113,125,16
2020,서울,용산구,159,6,158,59,95,4
2020,서울,성동구,244,5,248,78,151,19
2020,서울,동대문구,331,5,336,141,178,17
2020,서울,성북구,340,3,345,131,201,13
2020,서울,도봉구,224,4,225,96,117,12
2020,서울,은평구,275,10,273,113,148,12
2020,서울,서대문구,208,6,213,85,104,24
2020,서울,마포구,270,6,278,91,159,28
2020,서울,강서구,348,9,349,137,203,9
2020,서울,구로구,296,2,306,109,185,12
2020,서울,영등포구,372,3,380,127,227,26
2020,서울,동작구,307,8,304,94,186,24
2020,서울,관악구,328,8,330,123,202,5
2020,서울,강남구,718,8,733,191,499,43
2020,서울,강동구,346,1,352,135,198,19
2020,서울,송파구,479,4,488,145,308,35
2020,서울,서초구,393,5,403,115,241,47
2020,서울,양천구,284,4,291,110,165,16
2020,서울,중랑구,357,4,359,111,223,25
2020,서울,노원구,285,3,293,107,178,8
2020,서울,광진구,193,3,199,69,123,7
2020,서울,강북구,275,2,284,78,186,20
2020,서울,금천구,201,3,206,77,121,8
2020,부산,중구,74,0,78,48,28,2
2020,부산,서구,107,3,105,56,39,10
2020,부산,동구,114,1,123,54,64,5
2020,부산,영도구,109,3,111,61,46,4
2020,부산,진구,407,5,426,179,235,12
2020,부산,동래구,254,1,257,109,129,19
2020,부산,남구,181,5,179,81,80,18
2020,부산,북구,168,3,175,65,98,12
2020,부산,해운대구,198,5,205,93,106,6
2020,부산,사하구,215,2,221,100,110,11
2020,부산,금정구,229,1,234,93,117,24
2020,부산,강서구,56,1,57,26,30,1
2020,부산,연제구,192,7,190,85,94,11
2020,부산,수영구,189,3,195,66,115,14
2020,부산,사상구,212,4,218,84,114,20
2020,부산,기장군,90,1,91,34,55,2
2020,대구,중구,178,5,185,49,108,28
2020,대구,동구,270,8,267,93,158,16
2020,대구,서구,183,7,186,61,97,28
2020,대구,남구,175,5,176,43,97,36
2020,대구,북구,319,8,320,126,166,28
2020,대구,수성구,344,5,346,116,207,23
2020,대구,달서구,515,9,518,178,298,42
2020,대구,달성군,119,5,117,39,66,12
2020,대구,군위군,-,-,-,-,-,-
2020,인천,중구,54,0,56,26,28,2
2020,인천,동구,40,2,39,15,23,1
2020,인천,미추홀구,223,3,228,96,94,38
2020,인천,부평구,286,4,295,97,161,37
2020,인천,남동구,325,10,329,113,190,26
2020,인천,서구,309,4,316,111,202,3
2020,인천,연수구,111,3,112,48,62,2
2020,인천,계양구,173,2,175,71,100,4
2020,인천,강화군,28,5,24,11,11,2
2020,인천,옹진군,1,1,0,0,0,0
2020,광주,동구,106,0,111,27,79,5
2020,광주,서구,258,2,265,74,181,10
2020,광주,북구,386,9,395,130,243,22
2020,광주,광산구,263,6,268,93,162,13
2020,광주,남구,159,3,162,64,91,7
2020,대전,동구,173,8,170,66,98,6
2020,대전,중구,252,6,256,88,158,10
2020,대전,서구,467,12,477,148,317,12
2020,대전,유성구,217,5,217,79,128,10
2020,대전,대덕구,145,7,141,56,81,4
2020,울산,중구,127,1,131,59,69,3
2020,울산,남구,278,6,281,116,150,15
2020,울산,동구,110,0,115,46,64,5
2020,울산,북구,79,5,79,36,42,1
2020,울산,울주군,119,4,117,59,43,15
2020,세종,세종시,116,1,121,63,53,5
2020,경기,수원시,846,11,873,282,528,63
2020,경기,성남시,654,9,660,263,347,50
2020,경기,의정부시,349,3,361,108,221,32
2020,경기,안양시,249,4,255,109,140,6
2020,경기,부천시,677,12,692,210,440,42
2020,경기,안산시,517,8,519,210,279,30
2020,경기,평택시,455,20,451,157,257,37
2020,경기,광명시,180,1,188,62,100,26
2020,경기,구리시,156,2,156,50,101,5
2020,경기,양주시,128,9,124,41,76,7
2020,경기,여주시,63,3,63,27,32,4
2020,경기,화성시,360,11,366,137,210,19
2020,경기,시흥시,273,10,272,88,166,18
2020,경기,파주시,239,15,236,100,118,18
2020,경기,고양시,549,19,549,186,311,52
2020,경기,광주시,253,9,256,85,165,6
2020,경기,연천군,29,2,27,12,13,2
2020,경기,포천시,94,5,93,49,40,4
2020,경기,가평군,54,0,56,21,31,4
2020,경기,양평군,89,2,94,36,46,12
2020,경기,이천시,139,11,141,44,96,1
2020,경기,용인시,419,11,424,171,215,38
2020,경기,안성시,104,4,106,39,60,7
2020,경기,김포시,224,7,228,102,116,10
2020,경기,동두천시,57,3,55,27,22,6
2020,경기,과천시,20,3,18,6,12,0
2020,경기,군포시,135,4,135,44,81,10
2020,경기,남양주시,381,12,384,133,219,32
2020,경기,오산시,187,1,193,64,109,20
2020,경기,의왕시,65,2,63,28,28,7
2020,경기,하남시,140,4,140,42,85,13
2020,강원,춘천시,219,4,227,75,136,16
2020,강원,원주시,268,10,273,101,157,15
2020,강원,동해시,71,3,72,38,34,0
2020,강원,강릉시,167,4,173,86,85,2
2020,강원,속초시,78,0,82,44,38,0
2020,강원,태백시,30,0,30,15,13,2
2020,강원,삼척시,47,1,46,25,21,0
2020,강원,홍천군,52,4,48,20,27,1
2020,강원,횡성군,26,0,27,19,8,0
2020,강원,영월군,27,2,26,10,10,6
2020,강원,평창군,20,1,20,8,9,3
2020,강원,정선군,18,1,18,8,10,0
2020,강원,철원군,24,2,23,7,15,1
2020,강원,화천군,15,2,13,7,6,0
2020,강원,양구군,6,1,5,2,3,0
2020,강원,인제군,8,0,10,6,3,1
2020,강원,고성군,21,0,23,8,10,5
2020,강원,양양군,27,1,28,12,16,0
2020,충북,청주시,602,17,611,247,353,11
2020,충북,충주시,120,4,117,51,64,2
2020,충북,제천시,89,5,90,52,36,2
2020,충북,보은군,25,1,24,12,12,0
2020,충북,옥천군,18,1,17,5,11,1
2020,충북,영동군,30,7,24,12,10,2
2020,충북,진천군,55,6,50,18,31,1
2020,충북,괴산군,27,3,26,13,12,1
2020,충북,음성군,62,4,61,28,33,0
2020,충북,단양군,19,0,24,9,15,0
2020,충북,증평군,24,1,23,15,7,1
2020,충남,천안시,454,22,463,165,277,21
2020,충남,아산시,204,9,201,91,99,11
2020,충남,보령시,110,5,114,55,57,2
2020,충남,공주시,72,1,73,41,29,3
2020,충남,서산시,132,10,126,72,47,7
2020,충남,금산군,27,4,24,17,7,0
2020,충남,태안군,49,6,48,27,19,2
2020,충남,논산시,75,8,71,41,29,1
2020,충남,부여군,33,2,32,25,7,0
2020,충남,서천군,49,4,45,23,22,0
2020,충남,청양군,23,3,20,15,5,0
2020,충남,홍성군,45,3,44,22,22,0
2020,충남,예산군,58,5,62,31,31,0
2020,충남,당진시,107,7,106,50,55,1
2020,충남,계룡시,12,1,11,7,4,0
2020,전북,전주시,447,17,451,212,231,8
2020,전북,군산시,203,6,211,73,131,7
2020,전북,정읍시,79,5,76,47,29,0
2020,전북,남원시,59,2,59,35,24,0
2020,전북,김제시,69,8,66,29,36,1
2020,전북,완주군,33,5,31,18,13,0
2020,전북,진안군,10,1,9,7,1,1
2020,전북,무주군,16,3,13,9,4,0
2020,전북,장수군,12,0,13,9,4,0
2020,전북,임실군,12,2,10,5,5,0
2020,전북,순창군,13,2,12,7,4,1
2020,전북,고창군,24,4,21,8,13,0
2020,전북,부안군,30,2,28,14,14,0
2020,전북,익산시,216,15,208,75,133,0
2020,전남,목포시,277,9,273,100,167,6
2020,전남,여수시,281,14,281,110,164,7
2020,전남,순천시,207,10,207,94,108,5
2020,전남,나주시,69,6,65,22,40,3
2020,전남,광양시,97,5,96,28,60,8
2020,전남,담양군,28,2,32,12,20,0
2020,전남,곡성군,14,2,16,9,7,0
2020,전남,구례군,25,4,24,13,9,2
2020,전남,고흥군,51,4,47,25,21,1
2020,전남,보성군,36,1,35,16,19,0
2020,전남,화순군,51,3,51,30,18,3
2020,전남,장흥군,24,2,22,8,14,0
2020,전남,강진군,36,0,37,25,10,2
2020,전남,해남군,47,2,46,27,18,1
2020,전남,영암군,29,1,28,10,16,2
2020,전남,무안군,49,3,51,23,28,0
2020,전남,함평군,20,0,20,11,9,0
2020,전남,영광군,31,3,28,10,15,3
2020,전남,장성군,24,2,22,13,6,3
2020,전남,완도군,46,5,42,20,19,3
2020,전남,진도군,19,2,18,6,11,1
2020,전남,신안군,13,3,10,8,2,0
2020,경북,포항시,343,12,354,155,181,18
2020,경북,경주시,219,10,227,99,120,8
2020,경북,김천시,122,7,122,58,61,3
2020,경북,안동시,150,4,152,75,74,3
2020,경북,구미시,215,10,215,81,119,15
2020,경북,영주시,84,5,82,47,34,1
2020,경북,영천시,91,5,86,36,49,1
2020,경북,문경시,40,3,39,17,20,2
2020,경북,상주시,59,14,47,27,20,0
2020,경북,군위군,7,0,7,2,5,0
2020,경북,의성군,27,2,26,16,10,0
2020,경북,청송군,13,2,12,6,5,1
2020,경북,영양군,9,1,8,5,3,0
2020,경북,영덕군,39,4,36,15,20,1
2020,경북,청도군,25,3,22,10,12,0
2020,경북,고령군,22,1,21,11,9,1
2020,경북,성주군,33,2,31,15,16,0
2020,경북,칠곡군,76,4,76,37,37,2
2020,경북,예천군,25,6,20,16,4,0
2020,경북,봉화군,18,4,14,8,6,0
2020,경북,울진군,26,1,28,17,11,0
2020,경북,울릉군,4,0,4,2,2,0
2020,경북,경산시,207,9,208,86,113,9
2020,경남,진주시,204,7,207,121,82,4
2020,경남,통영시,151,4,156,78,68,10
2020,경남,김해시,313,9,321,179,136,6
2020,경남,밀양시,97,6,94,51,38,5
2020,경남,거제시,153,5,153,89,60,4
2020,경남,의령군,14,1,13,6,6,1
2020,경남,함안군,43,1,44,24,19,1
2020,경남,창녕군,37,0,38,21,17,0
2020,경남,양산시,207,7,206,97,81,28
2020,경남,고성군,36,1,36,21,12,3
2020,경남,사천시,117,4,116,60,46,10
2020,경남,남해군,28,3,25,15,6,4
2020,경남,하동군,19,2,17,10,7,0
2020,경남,산청군,19,4,15,8,6,1
2020,경남,함양군,29,2,27,17,6,4
2020,경남,거창군,29,3,26,19,7,0
2020,경남,합천군,31,2,29,15,11,3
2020,경남,창원시(통합),664,25,663,307,328,28
2020,제주,제주시,546,17,556,183,343,30
2020,제주,서귀포시,175,13,171,86,77,8
2021,서울,종로구,179,4,179,59,113,7
2021,서울,중구,171,2,173,71,92,10
2021,서울,용산구,176,2,179,55,115,9
2021,서울,성동구,243,5,244,71,162,11
2021,서울,동대문구,311,11,302,101,193,8
2021,서울,성북구,297,4,299,100,185,14
2021,서울,도봉구,166,1,173,78,85,10
2021,서울,은평구,253,2,257,115,126,16
