시도,시군구,2020,,,,,,2021,,,,,,2022,,,,,,2023,,,,,,2024,,,,,
,,사고[건],사망[명],부상[명],(중상자[명]),(경상자[명]),(부상신고자[명]),사고[건],사망[명],부상[명],(중상자[명]),(경상자[명]),(부상신고자[명]),사고[건],사망[명],부상[명],(중상자[명]),(경상자[명]),(부상신고자[명]),사고[건],사망[명],부상[명],(중상자[명]),(경상자[명]),(부상신고자[명]),사고[건],사망[명],부상[명],(중상자[명]),(경상자[명]),(부상신고자[명])
서울,종로구,226,2,234,85,127,22,179,4,179,59,113,7,275,1,289,74,195,20,255,6,265,85,169,11,227,4,233,78,135,20
,중구,246,1,254,113,125,16,171,2,173,71,92,10,220,2,228,81,126,21,216,3,218,76,121,21,241,15,245,83,138,24
,용산구,159,6,158,59,95,4,176,2,179,55,115,9,222,7,232,77,147,8,209,2,218,72,139,7,174,2,180,63,114,3
,성동구,244,5,248,78,151,19,243,5,244,71,162,11,210,3,213,57,145,11,219,3,225,56,152,17,196,2,194,63,114,17
,동대문구,331,5,336,141,178,17,311,11,302,101,193,8,411,2,421,144,252,25,385,5,389,139,230,20,339,3,348,113,214,21
,성북구,340,3,345,131,201,13,297,4,299,100,185,14,304,5,312,101,198,13,303,5,308,112,168,28,304,4,306,99,181,26
,도봉구,224,4,225,96,117,12,166,1,173,78,85,10,160,2,162,71,81,10,134,5,133,51,69,13,152,4,158,54,93,11
,은평구,275,10,273,113,148,12,253,2,257,115,126,16,273,3,277,95,164,18,320,6,330,118,187,25,351,1,360,120,211,29
,서대문구,208,6,213,85,104,24,217,3,228,80,133,15,254,3,255,72,159,24,224,1,227,82,117,28,240,3,252,71,156,25
,마포구,270,6,278,91,159,28,230,6,232,78,122,32,241,7,249,70,156,23,277,5,279,89,158,32,240,5,240,67,151,22
,강서구,348,9,349,137,203,9,339,8,345,137,199,9,386,9,398,121,247,30,333,4,336,119,182,35,356,6,359,124,205,30
,구로구,296,2,306,109,185,12,278,2,290,107,177,6,291,3,295,95,177,23,339,1,342,107,190,45,315,5,319,99,203,17
,영등포구,372,3,380,127,227,26,336,9,338,121,196,21,386,6,390,122,240,28,383,3,394,129,237,28,337,5,338,112,191,35
,동작구,307,8,304,94,186,24,289,8,292,73,189,30,304,5,309,82,204,23,326,5,339,105,212,22,331,2,337,102,211,24
,관악구,328,8,330,123,202,5,317,5,327,103,215,9,285,6,293,95,188,10,285,4,291,98,178,15,366,8,368,81,268,19
,강남구,718,8,733,191,499,43,666,6,681,157,483,41,782,7,795,182,561,52,806,5,829,183,582,64,821,5,837,219,553,65
,강동구,346,1,352,135,198,19,244,7,241,89,135,17,265,3,267,86,163,18,295,0,306,101,188,17,357,2,364,109,234,21
,송파구,479,4,488,145,308,35,477,3,489,161,296,32,520,3,534,155,346,33,529,6,544,152,340,52,493,13,493,127,325,41
,서초구,393,5,403,115,241,47,383,7,386,106,239,41,434,4,445,116,310,19,369,3,380,100,262,18,323,8,326,109,210,7
,양천구,284,4,291,110,165,16,290,7,296,108,170,18,261,7,259,86,152,21,286,2,291,96,173,22,291,3,309,93,177,39
,중랑구,357,4,359,111,223,25,331,5,334,128,189,17,357,6,362,133,208,21,334,1,344,137,193,14,298,5,302,94,179,29
,노원구,285,3,293,107,178,8,281,2,288,105,166,17,305,2,313,93,202,18,273,5,276,70,181,25,272,3,280,87,167,26
,광진구,193,3,199,69,123,7,212,2,216,65,138,13,167,6,169,42,121,6,187,3,185,42,127,16,190,3,189,50,124,15
,강북구,275,2,284,78,186,20,262,5,263,84,168,11,321,6,323,104,195,24,292,4,296,76,196,24,268,4,278,89,167,22
,금천구,201,3,206,77,121,8,179,8,184,67,111,6,210,5,206,70,118,18,229,3,235,98,122,15,188,2,194,49,131,14
부산,중구,74,0,78,48,28,2,84,3,83,37,45,1,116,2,117,46,65,6,91,0,93,33,57,3,86,0,88,32,53,3
,서구,107,3,105,56,39,10,109,1,112,42,61,9,106,3,108,45,58,5,129,2,128,43,80,5,97,0,101,49,47,5
,동구,114,1,123,54,64,5,101,3,100,44,50,6,143,2,144,63,77,4,128,3,134,50,81,3,110,3,107,39,63,5
,영도구,109,3,111,61,46,4,85,2,86,51,33,2,103,1,106,56,49,1,91,3,90,46,40,4,100,4,99,47,51,1
,진구,407,5,426,179,235,12,413,5,423,158,254,11,408,3,422,166,238,18,403,2,424,162,248,14,388,5,395,156,223,16
